iter	Passed	Remaining
0	11	11890
1	19	9638
2	23	7827
3	28	7171
4	33	6699
5	37	6295
6	42	6043
7	47	5935
8	51	5701
9	55	5495
10	60	5426
11	64	5304
12	69	5255
13	72	5133
14	76	5028
15	80	4952
16	85	4924
17	88	4841
18	92	4782
19	96	4731
20	100	4677
21	104	4625
22	107	4573
23	111	4531
24	115	4489
25	118	4452
26	122	4417
27	126	4384
28	130	4354
29	133	4325
30	137	4298
31	141	4270
32	144	4246
33	148	4223
34	152	4199
35	155	4176
36	159	4154
37	163	4136
38	167	4117
39	170	4098
40	175	4104
41	179	4086
42	182	4066
43	186	4050
44	190	4033
45	193	4016
46	197	4000
47	200	3984
48	204	3969
49	208	3956
50	211	3943
51	215	3928
52	219	3913
53	222	3902
54	226	3889
55	230	3877
56	233	3866
57	237	3854
58	240	3843
59	245	3843
60	249	3842
61	253	3831
62	256	3821
63	260	3810
64	264	3798
65	268	3794
66	272	3797
67	276	3788
68	280	3778
69	283	3770
70	287	3760
71	291	3752
72	294	3744
73	298	3735
74	302	3726
75	305	3717
76	309	3715
77	313	3706
78	317	3697
79	320	3689
80	325	3692
81	329	3686
82	332	3678
83	336	3672
84	340	3664
85	344	3657
86	347	3649
87	351	3641
88	355	3634
89	358	3627
90	362	3619
91	365	3612
92	369	3603
93	373	3596
94	376	3589
95	380	3581
96	384	3576
97	388	3572
98	391	3565
99	395	3560
100	399	3554
101	402	3547
102	406	3540
103	410	3534
104	413	3528
105	417	3522
106	421	3517
107	425	3510
108	428	3503
109	432	3496
110	435	3490
111	439	3484
112	443	3477
113	446	3471
114	450	3465
115	453	3459
116	457	3453
117	461	3447
118	464	3441
119	468	3435
120	472	3429
121	475	3423
122	479	3418
123	483	3412
124	486	3407
125	490	3400
126	493	3395
127	497	3389
128	501	3383
129	504	3378
130	508	3373
131	512	3367
132	515	3362
133	519	3357
134	523	3351
135	526	3346
136	530	3340
137	534	3335
138	537	3330
139	541	3325
140	544	3320
141	548	3315
142	552	3310
143	556	3306
144	559	3300
145	563	3295
146	566	3289
147	570	3284
148	574	3278
149	577	3273
150	581	3268
151	585	3263
152	588	3258
153	592	3253
154	595	3248
155	599	3243
156	603	3238
157	606	3234
158	610	3230
159	614	3225
160	618	3220
161	621	3216
162	625	3213
163	629	3208
164	632	3203
165	636	3198
166	640	3193
167	643	3188
168	647	3184
169	651	3180
170	655	3175
171	658	3170
172	662	3165
173	665	3161
174	669	3156
175	673	3151
176	676	3147
177	680	3142
178	684	3138
179	687	3132
180	691	3127
181	694	3122
182	698	3118
183	702	3113
184	705	3108
185	709	3104
186	712	3099
187	716	3094
188	720	3089
189	723	3085
190	727	3081
191	731	3077
192	734	3072
193	738	3068
194	742	3064
195	745	3059
196	749	3054
197	753	3050
198	756	3045
199	760	3041
200	764	3037
201	768	3035
202	773	3035
203	776	3031
204	780	3027
205	784	3023
206	787	3018
207	791	3013
208	795	3009
209	798	3004
210	802	3000
211	806	2996
212	809	2992
213	813	2988
214	817	2984
215	821	2979
216	824	2975
217	828	2970
218	831	2966
219	835	2961
220	839	2957
221	842	2953
222	846	2949
223	850	2944
224	853	2940
225	857	2936
226	861	2934
227	865	2930
228	869	2926
229	872	2921
230	877	2920
231	880	2916
232	884	2911
233	888	2907
234	891	2902
235	895	2898
236	899	2894
237	903	2893
238	907	2890
239	911	2885
240	914	2881
241	918	2877
242	922	2873
243	926	2869
244	929	2865
245	933	2861
246	937	2857
247	941	2853
248	944	2849
249	948	2844
250	951	2840
251	955	2835
252	959	2831
253	962	2827
254	966	2823
255	970	2819
256	973	2815
257	978	2813
258	981	2809
259	985	2804
260	989	2800
261	992	2796
262	996	2792
263	1000	2788
264	1003	2783
265	1007	2779
266	1010	2775
267	1014	2771
268	1018	2768
269	1022	2764
270	1026	2760
271	1029	2756
272	1033	2752
273	1037	2748
274	1040	2744
275	1044	2740
276	1048	2736
277	1051	2731
278	1055	2727
279	1059	2723
280	1062	2719
281	1066	2715
282	1070	2710
283	1073	2706
284	1077	2702
285	1080	2698
286	1084	2694
287	1088	2690
288	1091	2686
289	1095	2681
290	1099	2677
291	1102	2673
292	1106	2669
293	1110	2665
294	1113	2661
295	1117	2657
296	1121	2653
297	1124	2649
298	1128	2645
299	1131	2641
300	1135	2637
301	1139	2633
302	1142	2628
303	1147	2626
304	1150	2622
305	1154	2618
306	1157	2613
307	1161	2609
308	1165	2605
309	1168	2601
310	1172	2597
311	1175	2593
312	1179	2588
313	1183	2585
314	1186	2580
315	1190	2576
316	1194	2572
317	1197	2568
318	1201	2564
319	1205	2560
320	1208	2557
321	1212	2552
322	1216	2549
323	1219	2544
324	1223	2540
325	1226	2536
326	1230	2532
327	1234	2528
328	1238	2525
329	1241	2521
330	1245	2516
331	1249	2513
332	1252	2509
333	1256	2505
334	1260	2501
335	1263	2497
336	1267	2493
337	1270	2489
338	1274	2485
339	1278	2481
340	1282	2477
341	1285	2473
342	1289	2469
343	1292	2465
344	1296	2461
345	1300	2457
346	1303	2453
